run_id,budget,call_idx,action_type,eligible_count
hcr_H1_b100,100,41,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,42,DISCOVER_CORE,50
hcr_H1_b100,100,42,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,43,DISCOVER_CORE,49
hcr_H1_b100,100,43,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,44,DISCOVER_CORE,48
hcr_H1_b100,100,44,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,45,DISCOVER_CORE,47
hcr_H1_b100,100,45,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,46,DISCOVER_CORE,46
hcr_H1_b100,100,46,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,47,DISCOVER_CORE,45
hcr_H1_b100,100,47,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,48,DISCOVER_CORE,44
hcr_H1_b100,100,48,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,49,DISCOVER_CORE,43
hcr_H1_b100,100,49,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,50,DISCOVER_CORE,42
hcr_H1_b100,100,50,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,51,DISCOVER_CORE,41
hcr_H1_b100,100,51,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,52,DISCOVER_CORE,40
hcr_H1_b100,100,52,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,53,DISCOVER_CORE,39
hcr_H1_b100,100,53,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,54,DISCOVER_CORE,38
hcr_H1_b100,100,54,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,55,DISCOVER_CORE,37
hcr_H1_b100,100,55,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,56,DISCOVER_CORE,37
hcr_H1_b100,100,56,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,57,DISCOVER_CORE,37
hcr_H1_b100,100,57,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,58,DISCOVER_CORE,36
hcr_H1_b100,100,58,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,59,DISCOVER_CORE,36
hcr_H1_b100,100,59,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,60,DISCOVER_CORE,36
hcr_H1_b100,100,60,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,61,DISCOVER_CORE,36
hcr_H1_b100,100,61,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,62,DISCOVER_CORE,35
hcr_H1_b100,100,62,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,63,DISCOVER_CORE,35
hcr_H1_b100,100,63,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,64,DISCOVER_CORE,34
hcr_H1_b100,100,64,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,65,DISCOVER_CORE,33
