method,setting,budget,trial,recall,precision,invalid_rate,candidate_calls,audit_calls
fixed_mix_80_20,label_K10_min15,1200,8,0.2222222222222222,0.36363636363636365,0.6363636363636364,960,240
fixed_mix_50_50,label_K10_min15,1200,8,0.2222222222222222,0.4444444444444444,0.6666666666666666,600,600
adaptive_greedy,label_K10_min15,1200,8,0.3888888888888889,0.4666666666666667,0.6,1175,25
candidate_only,label_K10_min15,1200,9,0.3888888888888889,0.4375,0.625,1200,0
fixed_mix_80_20,label_K10_min15,1200,9,0.2777777777777778,0.4166666666666667,0.6666666666666666,960,240
fixed_mix_50_50,label_K10_min15,1200,9,0.2222222222222222,0.4444444444444444,0.3333333333333333,600,600
adaptive_greedy,label_K10_min15,1200,9,0.3888888888888889,0.4666666666666667,0.6,1175,25
candidate_only,label_K10_min15,1200,10,0.3888888888888889,0.4375,0.625,1200,0
fixed_mix_80_20,label_K10_min15,1200,10,0.3333333333333333,0.46153846153846156,0.6153846153846154,960,240
fixed_mix_50_50,label_K10_min15,1200,10,0.2222222222222222,0.4,0.5,600,600
adaptive_greedy,label_K10_min15,1200,10,0.3888888888888889,0.4666666666666667,0.6,1175,25
candidate_only,label_K10_min15,1200,11,0.3888888888888889,0.4375,0.625,1200,0
fixed_mix_80_20,label_K10_min15,1200,11,0.2777777777777778,0.4166666666666667,0.6666666666666666,960,240
fixed_mix_50_50,label_K10_min15,1200,11,0.2222222222222222,0.4444444444444444,0.5555555555555556,600,600
adaptive_greedy,label_K10_min15,1200,11,0.3888888888888889,0.4666666666666667,0.6,1175,25
candidate_only,label_K10_min15,1200,12,0.3888888888888889,0.4375,0.625,1200,0
fixed_mix_80_20,label_K10_min15,1200,12,0.2777777777777778,0.4166666666666667,0.6666666666666666,960,240
fixed_mix_50_50,label_K10_min15,1200,12,0.3333333333333333,0.6,0.5,600,600
adaptive_greedy,label_K10_min15,1200,12,0.3888888888888889,0.4666666666666667,0.6,1175,25
