workload_id,video_id,query_id,cost_tier,verify_scan_cost_ratio,deadline_level,deadline_fraction,base_seed,chunk_count,policy,normalized_anytime_event_auc,terminal_event_recall,committed_events,oracle_failures,scan_actions,verify_actions
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,12469531558194382158,,largest_gap,0.452493129171574,0.8333333333333334,40,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,12469531558194382158,,datb_sv,0.3934408127208472,0.7083333333333334,34,0,382,297
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,12469531558194382158,3,exsample_end_to_end_adapted,0.3635404397330182,0.7291666666666666,35,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,12469531558194382158,6,exsample_end_to_end_adapted,0.4116975853945819,0.625,30,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,12469531558194382158,12,exsample_end_to_end_adapted,0.4576707891637188,0.7083333333333334,34,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,7951618664789711144,,sequential,0.32193511974872313,0.5833333333333334,28,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,7951618664789711144,,uniform_stride,0.40663034943070375,0.7083333333333334,34,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,7951618664789711144,,random_temporal,0.39694984295249336,0.75,36,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,7951618664789711144,,largest_gap,0.452493129171574,0.8333333333333334,40,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,7951618664789711144,,datb_sv,0.3934408127208472,0.7083333333333334,34,0,382,297
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,7951618664789711144,3,exsample_end_to_end_adapted,0.430113859442483,0.6666666666666666,32,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,7951618664789711144,6,exsample_end_to_end_adapted,0.3367687475461336,0.6458333333333334,31,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,7951618664789711144,12,exsample_end_to_end_adapted,0.47866362387122063,0.75,36,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,10834653013843659315,,sequential,0.32193511974872313,0.5833333333333334,28,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,10834653013843659315,,uniform_stride,0.40663034943070375,0.7083333333333334,34,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,10834653013843659315,,random_temporal,0.3972565763643507,0.75,36,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,10834653013843659315,,largest_gap,0.452493129171574,0.8333333333333334,40,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,10834653013843659315,,datb_sv,0.3934408127208472,0.7083333333333334,34,0,382,297
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,10834653013843659315,3,exsample_end_to_end_adapted,0.3959192186886522,0.6875,33,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,10834653013843659315,6,exsample_end_to_end_adapted,0.2868202787593254,0.6041666666666666,29,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,10834653013843659315,12,exsample_end_to_end_adapted,0.4093173341185698,0.7708333333333334,37,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,13566490167741466441,,sequential,0.32193511974872313,0.5833333333333334,28,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,13566490167741466441,,uniform_stride,0.40663034943070375,0.7083333333333334,34,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,13566490167741466441,,random_temporal,0.5115699842952465,0.8333333333333334,40,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,13566490167741466441,,largest_gap,0.452493129171574,0.8333333333333334,40,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,13566490167741466441,,datb_sv,0.3934408127208472,0.7083333333333334,34,0,382,297
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,13566490167741466441,3,exsample_end_to_end_adapted,0.40698616018845607,0.7708333333333334,37,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,13566490167741466441,6,exsample_end_to_end_adapted,0.4180285630153127,0.7708333333333334,37,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,2,0.6,13566490167741466441,12,exsample_end_to_end_adapted,0.417316941499804,0.75,36,0,340,339
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,3.0,0,0.2,2123151880353550199,,sequential,0.1285335689045937,0.25,12,0,113,113
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,3.0,0,0.2,2123151880353550199,,uniform_stride,0.14726884570082444,0.3333333333333333,16,0,113,113
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,3.0,0,0.2,2123151880353550199,,random_temporal,0.1336866902237927,0.25,12,0,113,113
