mode,width_mode,scenario,planner,budget,runs,missing_mass_fraction_mean,missing_mass_fraction_std,missing_mass_fraction_p025,missing_mass_fraction_p975,found_positive_bins_mean,found_positive_bins_std,found_positive_bins_p025,found_positive_bins_p975,audit_calls_mean,audit_calls_std,audit_calls_p025,audit_calls_p975,discover_calls_mean,discover_calls_std,discover_calls_p025,discover_calls_p975,repair_calls_mean,repair_calls_std,repair_calls_p025,repair_calls_p975,phi_upper_missing_mass_mean,phi_upper_missing_mass_std,phi_upper_missing_mass_p025,phi_upper_missing_mass_p975,phi_true_missing_mass_mean,phi_true_missing_mass_std,phi_true_missing_mass_p025,phi_true_missing_mass_p975
full,narrow,wrong,uniform,80,120,0.961361,0.017821,0.927064,0.991737,3.416667,1.796215,0.975000,7.000000,0.000000,0.000000,0.000000,0.000000,80.000000,0.000000,80.000000,80.000000,0.000000,0.000000,0.000000,0.000000,23.924902,6.086743,16.072581,40.817166,0.961361,0.017821,0.927064,0.991737
full,narrow,wrong,uniform,120,120,0.942701,0.023511,0.898425,0.979187,5.091667,2.411762,1.975000,10.000000,0.000000,0.000000,0.000000,0.000000,120.000000,0.000000,120.000000,120.000000,0.000000,0.000000,0.000000,0.000000,23.906241,6.088391,16.056452,40.797268,0.942701,0.023511,0.898425,0.979187
full,narrow,wrong,uniform,160,120,0.921462,0.027603,0.873816,0.976197,6.966667,2.963481,2.000000,13.000000,0.000000,0.000000,0.000000,0.000000,160.000000,0.000000,160.000000,160.000000,0.000000,0.000000,0.000000,0.000000,23.885002,6.089130,16.040121,40.797268,0.921462,0.027603,0.873816,0.976197
full,narrow,wrong,v1_full_planner,20,120,0.976678,0.037193,0.880000,1.000000,2.058333,3.248835,0.000000,10.025000,7.308333,0.496586,7.000000,8.000000,9.108333,5.531419,0.000000,13.000000,3.583333,5.464405,0.000000,13.000000,20.507139,5.191883,13.797092,34.933275,0.976678,0.037193,0.880000,1.000000
full,narrow,wrong,v1_full_planner,40,120,0.955745,0.049785,0.845667,1.000000,3.958333,4.401507,0.000000,14.025000,14.316667,0.532030,14.000000,16.000000,17.266667,9.818124,0.000000,26.000000,8.416667,9.840040,0.000000,26.000000,17.945439,4.408497,12.092212,29.629399,0.955745,0.049785,0.845667,1.000000
full,narrow,wrong,v1_full_planner,80,120,0.922364,0.066153,0.746760,1.000000,6.983333,5.846628,0.000000,21.075000,28.241667,0.482974,28.000000,29.025000,34.183333,13.227486,8.925000,52.000000,17.575000,13.221613,0.000000,42.075000,14.416384,3.460453,9.836788,23.715630,0.922364,0.066153,0.746760,1.000000
full,narrow,wrong,v1_full_planner,120,120,0.897477,0.079414,0.671036,1.000000,9.191667,7.252926,0.000000,29.050000,42.216667,0.486198,42.000000,44.000000,53.550000,16.516078,11.000000,78.000000,24.233333,16.483190,0.000000,66.025000,12.164609,2.894082,8.201202,19.553784,0.897477,0.079414,0.671036,1.000000
full,narrow,wrong,v1_full_planner,160,120,0.868100,0.092913,0.596941,1.000000,11.683333,8.581942,0.000000,35.075000,56.216667,0.503046,56.000000,58.000000,72.958333,20.584944,23.850000,103.025000,30.825000,20.545747,0.000000,80.150000,10.547679,2.480748,7.052318,16.676747,0.868100,0.092913,0.596941,1.000000
full,wide,none,top_prior_only,20,120,0.990514,0.004042,0.980702,0.997587,4.608333,2.122482,1.000000,9.000000,0.000000,0.000000,0.000000,0.000000,20.000000,0.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.000000,4.351933,1.215626,2.924969,6.739611,0.990514,0.004042,0.980702,0.997587
full,wide,none,top_prior_only,40,120,0.981228,0.006045,0.969588,0.991668,9.141667,3.519697,3.000000,16.025000,0.000000,0.000000,0.000000,0.000000,40.000000,0.000000,40.000000,40.000000,0.000000,0.000000,0.000000,0.000000,4.342647,1.215721,2.913296,6.736241,0.981228,0.006045,0.969588,0.991668
full,wide,none,top_prior_only,80,120,0.961922,0.009022,0.943775,0.977298,18.500000,5.668627,6.975000,28.050000,0.000000,0.000000,0.000000,0.000000,80.000000,0.000000,80.000000,80.000000,0.000000,0.000000,0.000000,0.000000,4.323341,1.215707,2.892593,6.722762,0.961922,0.009022,0.943775,0.977298
full,wide,none,top_prior_only,120,120,0.941274,0.011481,0.915844,0.963328,28.550000,8.185200,15.850000,45.000000,0.000000,0.000000,0.000000,0.000000,120.000000,0.000000,120.000000,120.000000,0.000000,0.000000,0.000000,0.000000,4.302693,1.215814,2.863410,6.705563,0.941274,0.011481,0.915844,0.963328
full,wide,none,top_prior_only,160,120,0.920715,0.012282,0.893251,0.942646,38.641667,10.472819,16.950000,60.050000,0.000000,0.000000,0.000000,0.000000,160.000000,0.000000,160.000000,160.000000,0.000000,0.000000,0.000000,0.000000,4.282134,1.216420,2.844681,6.688452,0.920715,0.012282,0.893251,0.942646
full,wide,none,uniform,20,120,0.990057,0.004139,0.982627,0.997025,4.808333,2.233442,1.975000,9.000000,0.000000,0.000000,0.000000,0.000000,20.000000,0.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.000000,4.351476,1.215205,2.927836,6.716719,0.990057,0.004139,0.982627,0.997025
full,wide,none,uniform,40,120,0.980304,0.005529,0.966317,0.989708,9.566667,3.365841,4.950000,17.000000,0.000000,0.000000,0.000000,0.000000,40.000000,0.000000,40.000000,40.000000,0.000000,0.000000,0.000000,0.000000,4.341723,1.215373,2.919014,6.706435,0.980304,0.005529,0.966317,0.989708
full,wide,none,uniform,80,120,0.960077,0.008255,0.945364,0.974077,19.375000,5.692191,9.000000,30.025000,0.000000,0.000000,0.000000,0.000000,80.000000,0.000000,80.000000,80.000000,0.000000,0.000000,0.000000,0.000000,4.321496,1.214940,2.901335,6.676192,0.960077,0.008255,0.945364,0.974077
full,wide,none,uniform,120,120,0.939722,0.010292,0.919197,0.958502,29.225000,7.696820,14.975000,44.000000,0.000000,0.000000,0.000000,0.000000,120.000000,0.000000,120.000000,120.000000,0.000000,0.000000,0.000000,0.000000,4.301141,1.214071,2.882183,6.652603,0.939722,0.010292,0.919197,0.958502
full,wide,none,uniform,160,120,0.919500,0.012250,0.893543,0.938558,39.033333,9.882589,20.950000,58.025000,0.000000,0.000000,0.000000,0.000000,160.000000,0.000000,160.000000,160.000000,0.000000,0.000000,0.000000,0.000000,4.280919,1.213647,2.859355,6.625817,0.919500,0.012250,0.893543,0.938558
