dataset,method,method_variant,seed,budget,exact_oracle_calls,selected_positive_units,selected_distinct_reference_events,positive_duplicate_burden,event_precision,event_recall,event_f1,event_count_error,predicted_event_count,reference_event_count,tiou_03,tiou_05,matched_mean_iou,overmerge,oversplit,returned_seconds,overcoverage_ratio,event_recall_per_returned_minute
development,random,uniform_nested,6,5,5.0,1.0,1.0,0.0,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.034999999999990906,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
development,random,uniform_nested,6,10,10.0,2.0,2.0,0.0,1.0,0.07692307692307693,0.14285714285714288,24.0,2.0,26.0,0.0,0.0,0.05249999999999773,0.0,0.0,20.0,0.13495276653171537,0.23076923076923078
development,random,uniform_nested,6,20,20.0,2.0,2.0,0.0,1.0,0.07692307692307693,0.14285714285714288,24.0,2.0,26.0,0.0,0.0,0.05249999999999773,0.0,0.0,20.0,0.13495276653171537,0.23076923076923078
development,random,uniform_nested,6,50,50.0,5.0,5.0,0.0,1.0,0.19230769230769232,0.32258064516129037,21.0,5.0,26.0,0.0,0.0,0.07378314745972715,0.0,0.0,50.0,0.3373819163292884,0.23076923076923078
development,random,uniform_nested,6,80,80.0,8.0,7.0,1.0,0.875,0.2692307692307692,0.411764705882353,18.0,8.0,26.0,0.0,0.0,0.06770224818552037,0.0,1.0,80.0,0.5398110661268615,0.20192307692307693
development,random,uniform_nested,6,100,100.0,8.0,7.0,1.0,0.875,0.2692307692307692,0.411764705882353,18.0,8.0,26.0,0.0,0.0,0.06770224818552037,0.0,1.0,80.0,0.5398110661268615,0.20192307692307693
development,random,uniform_nested,7,5,5.0,1.0,1.0,0.0,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.07000000000000454,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
development,random,uniform_nested,7,10,10.0,2.0,2.0,0.0,1.0,0.07692307692307693,0.14285714285714288,24.0,2.0,26.0,0.0,0.0,0.07000000000000454,0.0,0.0,20.0,0.13495276653171537,0.23076923076923078
development,random,uniform_nested,7,20,20.0,2.0,2.0,0.0,1.0,0.07692307692307693,0.14285714285714288,24.0,2.0,26.0,0.0,0.0,0.07000000000000454,0.0,0.0,20.0,0.13495276653171537,0.23076923076923078
development,random,uniform_nested,7,50,50.0,7.0,6.0,1.0,0.8571428571428571,0.23076923076923078,0.36363636363636365,19.0,7.0,26.0,0.038461538461538464,0.038461538461538464,0.21724919609183038,0.0,1.0,70.0,0.4723346828610038,0.1978021978021978
development,random,uniform_nested,7,80,80.0,8.0,6.0,2.0,0.8571428571428571,0.23076923076923078,0.36363636363636365,19.0,7.0,26.0,0.07692307692307693,0.07692307692307693,0.3005825294251637,0.0,1.0,80.0,0.5398110661268615,0.1730769230769231
development,random,uniform_nested,7,100,100.0,10.0,7.0,3.0,0.7777777777777778,0.2692307692307692,0.39999999999999997,17.0,9.0,26.0,0.07692307692307693,0.07692307692307693,0.2676421680787124,0.0,2.0,100.0,0.6747638326585768,0.16153846153846152
development,random,uniform_nested,8,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development,random,uniform_nested,8,10,10.0,1.0,1.0,0.0,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.06999999999999887,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
