replicate,metric,median,mean
22,delta_AnytimeAUC,-0.0019037036511618532,-0.002156074731145189
23,delta_F1,0.0,-0.0021768707482992997
23,delta_EventRecall,0.0,0.0
23,delta_AnytimeAUC,0.005286363539346306,0.0025967231137519475
24,delta_F1,-0.00326530612244895,-0.005650394838069884
24,delta_EventRecall,0.0,-0.0050596782563570334
24,delta_AnytimeAUC,-0.0019037036511618532,-0.002367505489704713
25,delta_F1,0.0,0.004048550927220208
25,delta_EventRecall,0.0,0.004545454545454542
25,delta_AnytimeAUC,0.011597576643579549,0.007131964073391274
26,delta_F1,-0.00326530612244895,0.004172465813039875
26,delta_EventRecall,0.0,0.006577974870657792
26,delta_AnytimeAUC,0.0007220532094527748,0.0011101005318462965
27,delta_F1,0.0,0.0029179640123195745
27,delta_EventRecall,0.0,0.0030318755798776505
27,delta_AnytimeAUC,0.007912120399960934,0.002311328107289045
28,delta_F1,0.0,0.0012123502599693167
28,delta_EventRecall,0.0,0.00203252032520325
28,delta_AnytimeAUC,0.011067726952077556,0.0069205333148317505
29,delta_F1,-0.00326530612244895,0.002322792130550866
29,delta_EventRecall,0.0,0.0019987105093488
29,delta_AnytimeAUC,-0.0019037036511618532,-0.0021212605364196633
30,delta_F1,0.0,0.0011701987192183332
30,delta_EventRecall,0.0,0.0005189413596263584
30,delta_AnytimeAUC,0.010537877260575562,0.005548455262937781
31,delta_F1,-0.00326530612244895,-0.0033074576631999335
31,delta_EventRecall,0.0,-0.0015135789655768917
31,delta_AnytimeAUC,-0.0019037036511618532,-0.0011720440016447415
32,delta_F1,0.0,-0.0034313725490196004
32,delta_EventRecall,0.0,-0.0035460992907801418
32,delta_AnytimeAUC,0.008441970091462928,0.0048498195399002365
33,delta_F1,-0.01355942376950775,-0.0062455667198385925
33,delta_EventRecall,-0.010638297872340425,-0.0060928433268858835
33,delta_AnytimeAUC,-0.012680155305849927,-0.005748225282707881
34,delta_F1,0.0,0.0005750268374496243
34,delta_EventRecall,0.0,-0.0005142237109024917
34,delta_AnytimeAUC,0.005286363539346306,6.399776852353267e-05
35,delta_F1,-0.00326530612244895,-0.0010066720290809667
35,delta_EventRecall,0.0,0.0005189413596263584
35,delta_AnytimeAUC,0.0007220532094527748,-0.00029679171477319893
36,delta_F1,-0.00326530612244895,0.0018295286381699246
36,delta_EventRecall,0.0,0.0030318755798776505
36,delta_AnytimeAUC,-0.0019037036511618532,-0.0011372298069192155
37,delta_F1,0.0,-0.002261173829801267
37,delta_EventRecall,0.0,-0.003027157931153783
37,delta_AnytimeAUC,0.005286363539346306,-0.00014743299003599128
38,delta_F1,0.0138047138047138,0.013787108496828
38,delta_EventRecall,0.0121951219512195,0.013155949741315584
38,delta_AnytimeAUC,0.010537877260575562,0.006813545140448805
39,delta_F1,0.0,0.005754164679570466
39,delta_EventRecall,0.0,0.005544809800128943
39,delta_AnytimeAUC,0.008441970091462928,0.0025227588658485686
40,delta_F1,0.0,0.004006399386469225
40,delta_EventRecall,0.0,0.0030318755798776505
40,delta_AnytimeAUC,0.011067726952077556,0.005759886021497305
41,delta_F1,-0.00326530612244895,-0.00047125699594904175
41,delta_EventRecall,0.0,0.0009993552546744
41,delta_AnytimeAUC,0.0012519029009547683,9.125560762032285e-05
42,delta_F1,0.0,0.000575026837449624
42,delta_EventRecall,0.0,-0.0005142237109024913
42,delta_AnytimeAUC,0.011067726952077556,0.002167735469934614
43,delta_F1,0.0069023569023569,0.00865012219545814
43,delta_EventRecall,0.00609756097560975,0.008610495195861042
43,delta_AnytimeAUC,0.011067726952077556,0.00783059979642882
44,delta_F1,-0.0102941176470588,-0.0102941176470588
44,delta_EventRecall,-0.010638297872340425,-0.010638297872340425
44,delta_AnytimeAUC,-0.005490088115341768,-0.005490088115341768
45,delta_F1,0.0,-0.0017257587966693425
45,delta_EventRecall,0.0,-0.0025467440361057418
45,delta_AnytimeAUC,0.008441970091462928,0.001292483183063071
46,delta_F1,0.0069023569023569,0.009738557569607792
46,delta_EventRecall,0.00609756097560975,0.008610495195861042
46,delta_AnytimeAUC,0.011067726952077556,0.010227288859931538
47,delta_F1,0.0,0.0029601155530705587
47,delta_EventRecall,0.0,0.004545454545454542
47,delta_AnytimeAUC,0.008441970091462928,0.003683406159183014
48,delta_F1,-0.00326530612244895,-0.00047125699594904175
48,delta_EventRecall,0.0,0.0009993552546744
48,delta_AnytimeAUC,-0.0019037036511618532,-0.0009606132430852177
49,delta_F1,0.0,0.005754164679570466
49,delta_EventRecall,0.0,0.005544809800128943
49,delta_AnytimeAUC,0.008441970091462928,0.0025227588658485686
