benchmark_id,run_id,method,method_variant,seed,horizon_budget,call_idx,unit_id,action_type,selection_reason,oracle_label_after_query,oracle_cost,cumulative_logical_calls,state_before_hash,state_after_hash
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,10,24,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,11,d951a4aa8f70715217d2b90be2cca82330c85e7c42131d47df06fd35e567d32a,ff3be2b9f2f3abea0aa4339c528f894cb44b054e27612707bf091454bbd1752f
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,11,336,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,12,ff3be2b9f2f3abea0aa4339c528f894cb44b054e27612707bf091454bbd1752f,1a52811da11505f51c65e7b864fd3d1da621544172d0a5f7b0a8830b430a5f74
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,12,152,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,13,1a52811da11505f51c65e7b864fd3d1da621544172d0a5f7b0a8830b430a5f74,4d117f22f978575ca93c28ce2d9a22442daf746958c9ceb0c3e950186b47364a
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,13,209,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,14,4d117f22f978575ca93c28ce2d9a22442daf746958c9ceb0c3e950186b47364a,4381ca506038d2b86e2b936a894696247c1bfd33058f21d5510372982e0e3cdf
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,14,219,DISCOVER_CORE,maximum frozen structural-risk reduction,positive,1,15,4381ca506038d2b86e2b936a894696247c1bfd33058f21d5510372982e0e3cdf,f1e5dfafa2e3c74096a1a04f97bf09d9c7b74e8d9c35087c9213392637b14346
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,15,214,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,16,f1e5dfafa2e3c74096a1a04f97bf09d9c7b74e8d9c35087c9213392637b14346,7bd43882df8e18a7d79c9cbe8b41de62fc941d5afc58660082836c3169eb09c3
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,16,182,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,17,7bd43882df8e18a7d79c9cbe8b41de62fc941d5afc58660082836c3169eb09c3,6e686f890dd798eb5d5b2c0867c55de04ea91c5a0dc45b1d52c53e8b3e2af03d
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,17,123,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,18,6e686f890dd798eb5d5b2c0867c55de04ea91c5a0dc45b1d52c53e8b3e2af03d,9bea332cefb7ee34fe2564512fe940ece1bae53643a829cc6d8a9b9ae0b6c159
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,18,168,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,19,9bea332cefb7ee34fe2564512fe940ece1bae53643a829cc6d8a9b9ae0b6c159,fc8011b6e2c4f244ea72610598f1f39cd6c88a5438406b22b4821499ff14b131
cbbv2_514c0d360fd5b2a4b5fe,hcr_H3_b050,HYPOTHESIS_CONSTRUCTION_REPAIR_V1,H3,20260711,50,19,230,DISCOVER_CORE,maximum frozen structural-risk reduction,negative,1,20,fc8011b6e2c4f244ea72610598f1f39cd6c88a5438406b22b4821499ff14b131,3183ea0a9b2b0af51c70b12b0d592db1cc87697196880e133abf977ef4e94631
